 type,census_tract,time_period,avg_income,med_value,public_assistance,no_public_assistance,housing_over_30,under_65,white_alone,bachelor_higher,nonfamily_households,renter_occupied,percent_apartments,moved_post_2000,med_built,gini_index
count,506,2010,17993.73816,187547,84,1089,563,3803,1173,600,648,763,374,933,1959,0.5466
percent,506,2010, , ,0.071611253,0.928388747,0.479965899,0.938780548,0.289558134,0.312662845,0.552429668,0.650468883,0.31884058,0.795396419, , 
count,506,2011,17240.87274,188412,62,1065,612,3682,1203,647,568,717,354,429,1958,0.5662
percent,506,2011, , ,0.05501331,0.94498669,0.543034605,0.932624113,0.304711246,0.350677507,0.503992902,0.636202307,0.314108252,0.38065661, , 
count,506,2012,15661.93124,268365,77,1031,658,3739,1237,589,488,704,328,529,1957,0.5861
percent,506,2012, , ,0.069494585,0.930505415,0.593862816,0.936623246,0.309869739,0.341251448,0.440433213,0.635379061,0.296028881,0.477436823, , 
count,506,2013,19907.56787,311942,78,977,500,3533,1265,625,374,606,323,584,1955,0.5851
percent,506,2013, , ,0.073933649,0.926066351,0.473933649,0.929981574,0.332982364,0.355517634,0.35450237,0.574407583,0.306161137,0.553554502, , 
count,506,2014,21893.60736,364690,20,1041,523,3321,1272,771,408,634,278,295,1955,0.5945
percent,506,2014, , ,0.018850141,0.981149859,0.492931197,0.920199501,0.352452203,0.413626609,0.384542884,0.597549482,0.262016965,0.278039585, , 
count,506,2015,22682,384000,20,1020,465,3332,1445,810,348,561,216,346,1954,0.555
percent,506,2015, , ,0.019230769,0.980769231,0.447115385,0.914128944,0.396433471,0.424750918,0.334615385,0.539423077,0.207692308,0.332692308, , 
count,507,2010,19750.30577,153389,70,1302,682,2870,511,586,751,732,356,1103,1968,0.4637
percent,507,2010, , ,0.051020408,0.948979592,0.497084548,0.872871046,0.155413625,0.279713604,0.547376093,0.533527697,0.259475219,0.80393586, , 
count,507,2011,19407.71711,164456,60,1371,742,3088,615,680,729,789,339,516,1962,0.4746
percent,507,2011, , ,0.041928721,0.958071279,0.518518519,0.87977208,0.175213675,0.299559471,0.509433962,0.551362683,0.236897275,0.360587002, , 
count,507,2012,19824.31239,170885,42,1409,672,3227,631,690,733,750,374,648,1965,0.4382
percent,507,2012, , ,0.028945555,0.971054445,0.463128877,0.880731441,0.172216157,0.282902829,0.505168849,0.516884907,0.257753274,0.44658856, , 
count,507,2013,21572.09418,208900,31,1386,628,2948,693,759,729,778,323,742,1967,0.4501
percent,507,2013, , ,0.021877205,0.978122795,0.443189838,0.871158392,0.204787234,0.336884154,0.514467184,0.549047283,0.227946366,0.523641496, , 
count,507,2014,23122.47566,209529,33,1451,681,2868,851,795,757,841,376,302,1968,0.4564
percent,507,2014, , ,0.022237197,0.977762803,0.458894879,0.853825543,0.253349211,0.342968076,0.510107817,0.56671159,0.253369272,0.203504043, , 
count,507,2015,23588,239000,26,1458,699,2613,858,711,832,876,353,409,1966,0.454
percent,507,2015, , ,0.017520216,0.982479784,0.471024259,0.831635901,0.273074475,0.316703786,0.5606469,0.590296496,0.23787062,0.275606469, , 
count,508,2010,6543.079242,114907,5,910,535,4337,1904,157,422,799,459,799,1974,0.3962
percent,508,2010, , ,0.005464481,0.994535519,0.584699454,0.948807701,0.416539051,0.050974026,0.461202186,0.873224044,0.501639344,0.873224044, , 
count,508,2011,6921.384351,140931,17,923,548,4279,1594,157,469,824,545,564,1971,0.4042
percent,508,2011, , ,0.018085106,0.981914894,0.582978723,0.945008834,0.352031802,0.049620733,0.49893617,0.876595745,0.579787234,0.6, , 
count,508,2012,7127.29202,151175,32,912,541,4095,1548,153,465,837,592,605,1973,0.409
percent,508,2012, , ,0.033898305,0.966101695,0.57309322,0.939651216,0.355208811,0.049069917,0.492584746,0.886652542,0.627118644,0.640889831, , 
count,508,2013,7709.385042,164158,23,917,536,4015,1374,212,448,794,606,634,1971,0.3916
percent,508,2013, , ,0.024468085,0.975531915,0.570212766,0.930475087,0.318424102,0.067688378,0.476595745,0.844680851,0.644680851,0.674468085, , 
count,508,2014,8434.088697,210547,41,871,532,3815,1260,235,482,752,511,234,1968,0.4033
percent,508,2014, , ,0.04495614,0.95504386,0.583333333,0.938268569,0.309886867,0.078832607,0.528508772,0.824561404,0.560307018,0.256578947, , 
count,508,2015,9140,196700,46,876,545,3774,1245,255,446,733,466,329,1970,0.3941
percent,508,2015, , ,0.04989154,0.95010846,0.591106291,0.922738386,0.304400978,0.084802128,0.48373102,0.795010846,0.505422993,0.356832972, , 
count,519,2010,20712.36434,143012,69,1970,988,4606,1637,897,890,986,524,1311,1968,0.4548
percent,519,2010, , ,0.033840118,0.966159882,0.484551251,0.916799363,0.325835987,0.281632653,0.436488475,0.483570378,0.25698872,0.642962236, , 
count,519,2011,20345.46002,143737,74,1950,906,4588,1610,925,810,980,437,790,1967,0.4366
percent,519,2011, , ,0.036561265,0.963438735,0.447628458,0.907257267,0.318370575,0.279878971,0.400197628,0.484189723,0.215909091,0.390316206, , 
count,519,2012,19978.79032,149045,76,1990,889,4602,1675,929,883,968,388,931,1966,0.4076
percent,519,2012, , ,0.03678606,0.96321394,0.430300097,0.877909195,0.319534529,0.258774373,0.427395934,0.468538238,0.187802517,0.450629235, , 
count,519,2013,24736.36288,163220,51,1848,681,4042,1690,887,912,852,274,912,1964,0.4142
percent,519,2013, , ,0.02685624,0.97314376,0.358609795,0.857082273,0.358354538,0.248111888,0.480252765,0.448657188,0.144286467,0.480252765, , 
count,519,2014,23162.18226,178171,59,1869,689,4433,1908,884,805,928,295,343,1964,0.4274
percent,519,2014, , ,0.03060166,0.96939834,0.357365145,0.850537222,0.366078281,0.236870311,0.41753112,0.481327801,0.153008299,0.177904564, , 
count,519,2015,27868,180400,0,1941,592,4348,1993,894,774,899,420,468,1964,0.4385
percent,519,2015, , ,0,1,0.304997424,0.833588957,0.382093558,0.223388306,0.398763524,0.463163318,0.216383308,0.241112828, , 
count,520.01,2010,15440.49957,173711,25,1481,810,3747,1509,288,691,1408,1075,1391,1973,0.4386
percent,520.01,2010, , ,0.016600266,0.983399734,0.537848606,0.906605371,0.36511009,0.121878967,0.458831341,0.934926959,0.713811421,0.923638778, , 
count,520.01,2011,14971.51333,174060,16,1570,868,4148,1847,275,662,1494,1155,1046,1975,0.45
percent,520.01,2011, , ,0.010088272,0.989911728,0.547288777,0.917699115,0.408628319,0.105444785,0.41740227,0.941992434,0.728247163,0.659520807, , 
count,520.01,2012,14180.00849,251852,28,1529,867,3885,1556,267,702,1493,1139,1116,1975,0.4313
percent,520.01,2012, , ,0.017983301,0.982016699,0.556840077,0.90306834,0.361692236,0.107228916,0.450867052,0.958895311,0.731535003,0.716763006, , 
count,520.01,2013,14186.01939,294525,47,1508,832,4210,1320,304,661,1475,1182,1228,1976,0.4222
percent,520.01,2013, , ,0.03022508,0.96977492,0.535048232,0.913232104,0.286334056,0.121502798,0.425080386,0.948553055,0.760128617,0.789710611, , 
count,520.01,2014,14123.33153,322438,47,1505,805,4261,1348,329,701,1479,1269,563,1977,0.3674
